,author1,author2,comp1,comp2,num1,num2,UnifiedDiff,TreeDiff
116,J,Y,Uni,Az,2,1,0.53125,0.4782608695652174
117,J,Y,Uni,Az,2,2,0.21875,0.6847826086956522
118,J,J,Uni,Uni,2,0,0.4375,0.5
119,J,J,Uni,Uni,2,1,0.5625,0.6413043478260869
120,J,R,Uni,HSBC,2,0,0.40625,0.4782608695652174
121,J,R,Uni,HSBC,2,1,0.53125,0.6195652173913043
122,J,R,Uni,HSBC,2,2,0.53125,0.6195652173913043
123,J,R,Uni,GSK,2,0,0.40625,0.4782608695652174
124,J,R,Uni,GSK,2,1,0.53125,0.6195652173913043
125,J,R,Uni,GSK,2,2,0.71875,0.6630434782608695
126,R,Y,HSBC,Tes,0,0,0.5217391304347826,0.8958333333333334
127,R,Y,HSBC,Tes,0,1,0.4782608695652174,0.8958333333333334
128,R,Y,HSBC,Tes,0,2,0.43478260869565216,0.75
129,R,Y,HSBC,Az,0,0,0.7391304347826086,0.8958333333333334
130,R,Y,HSBC,Az,0,1,0.6956521739130435,0.8958333333333334
131,R,Y,HSBC,Az,0,2,0.30434782608695654,0.9791666666666666
132,R,J,HSBC,Uni,0,0,0.8260869565217391,0.9791666666666666
133,R,J,HSBC,Uni,0,1,0.7391304347826086,0.9583333333333334
134,R,J,HSBC,Uni,0,2,0.5652173913043478,0.9375
135,R,R,HSBC,HSBC,0,1,0.9130434782608695,0.9791666666666666
136,R,R,HSBC,HSBC,0,2,0.9130434782608695,0.9791666666666666
137,R,R,HSBC,GSK,0,0,1.0,1.0
138,R,R,HSBC,GSK,0,1,0.9130434782608695,0.9791666666666666
139,R,R,HSBC,GSK,0,2,0.5652173913043478,0.9791666666666666
140,R,Y,HSBC,Tes,1,0,0.46153846153846156,0.7288135593220338
141,R,Y,HSBC,Tes,1,1,0.4230769230769231,0.7627118644067796
142,R,Y,HSBC,Tes,1,2,0.38461538461538464,0.6440677966101694
143,R,Y,HSBC,Az,1,0,0.6538461538461539,0.711864406779661
144,R,Y,HSBC,Az,1,1,0.6153846153846154,0.7288135593220338
145,R,Y,HSBC,Az,1,2,0.2692307692307692,0.8305084745762712
146,R,J,HSBC,Uni,1,0,0.6538461538461539,0.7627118644067796
147,R,J,HSBC,Uni,1,1,0.8461538461538461,0.9830508474576272
148,R,J,HSBC,Uni,1,2,0.6538461538461539,0.9661016949152542
149,R,R,HSBC,HSBC,1,0,0.8076923076923077,0.7796610169491526
150,R,R,HSBC,HSBC,1,2,1.0,1.0
151,R,R,HSBC,GSK,1,0,0.8076923076923077,0.7796610169491526
152,R,R,HSBC,GSK,1,1,1.0,1.0
153,R,R,HSBC,GSK,1,2,0.6923076923076923,1.0
154,R,Y,HSBC,Tes,2,0,0.46153846153846156,0.7288135593220338
155,R,Y,HSBC,Tes,2,1,0.4230769230769231,0.7627118644067796
156,R,Y,HSBC,Tes,2,2,0.38461538461538464,0.6440677966101694
157,R,Y,HSBC,Az,2,0,0.6538461538461539,0.711864406779661
158,R,Y,HSBC,Az,2,1,0.6153846153846154,0.7288135593220338
159,R,Y,HSBC,Az,2,2,0.2692307692307692,0.8305084745762712
160,R,J,HSBC,Uni,2,0,0.6538461538461539,0.7627118644067796
161,R,J,HSBC,Uni,2,1,0.8461538461538461,0.9830508474576272
162,R,J,HSBC,Uni,2,2,0.6538461538461539,0.9661016949152542
163,R,R,HSBC,HSBC,2,0,0.8076923076923077,0.7796610169491526
164,R,R,HSBC,HSBC,2,1,1.0,1.0
165,R,R,HSBC,GSK,2,0,0.8076923076923077,0.7796610169491526
166,R,R,HSBC,GSK,2,1,1.0,1.0
167,R,R,HSBC,GSK,2,2,0.6923076923076923,1.0
168,R,Y,GSK,Tes,0,0,0.5217391304347826,0.8958333333333334
169,R,Y,GSK,Tes,0,1,0.4782608695652174,0.8958333333333334
170,R,Y,GSK,Tes,0,2,0.43478260869565216,0.75
171,R,Y,GSK,Az,0,0,0.7391304347826086,0.8958333333333334
172,R,Y,GSK,Az,0,1,0.6956521739130435,0.8958333333333334
173,R,Y,GSK,Az,0,2,0.30434782608695654,0.9791666666666666
174,R,J,GSK,Uni,0,0,0.8260869565217391,0.9791666666666666
175,R,J,GSK,Uni,0,1,0.7391304347826086,0.9583333333333334
176,R,J,GSK,Uni,0,2,0.5652173913043478,0.9375
177,R,R,GSK,HSBC,0,0,1.0,1.0
178,R,R,GSK,HSBC,0,1,0.9130434782608695,0.9791666666666666
179,R,R,GSK,HSBC,0,2,0.9130434782608695,0.9791666666666666
180,R,R,GSK,GSK,0,1,0.9130434782608695,0.9791666666666666
181,R,R,GSK,GSK,0,2,0.5652173913043478,0.9791666666666666
182,R,Y,GSK,Tes,1,0,0.46153846153846156,0.7288135593220338
183,R,Y,GSK,Tes,1,1,0.4230769230769231,0.7627118644067796
184,R,Y,GSK,Tes,1,2,0.38461538461538464,0.6440677966101694
185,R,Y,GSK,Az,1,0,0.6538461538461539,0.711864406779661
186,R,Y,GSK,Az,1,1,0.6153846153846154,0.7288135593220338
187,R,Y,GSK,Az,1,2,0.2692307692307692,0.8305084745762712
188,R,J,GSK,Uni,1,0,0.6538461538461539,0.7627118644067796
189,R,J,GSK,Uni,1,1,0.8461538461538461,0.9830508474576272
190,R,J,GSK,Uni,1,2,0.6538461538461539,0.9661016949152542
191,R,R,GSK,HSBC,1,0,0.8076923076923077,0.7796610169491526
192,R,R,GSK,HSBC,1,1,1.0,1.0
193,R,R,GSK,HSBC,1,2,1.0,1.0
194,R,R,GSK,GSK,1,0,0.8076923076923077,0.7796610169491526
